Date, Open , High , Low , Close ,Adj Close,Volume
6/29/2010,3.80,5.00,3.51,4.78,4.78,93831500.00
6/30/2010,5.16,6.08,4.66,4.77,4.77,85935500.00
7/1/2010,5.00,5.18,4.05,4.39,4.39,41094000.00
7/2/2010,4.60,4.62,3.74,3.84,3.84,25699000.00
7/6/2010,4.00,4.00,3.17,3.22,3.22,34334500.00
7/7/2010,3.28,3.33,3.00,3.16,3.16,34608500.00
7/8/2010,3.23,3.50,3.11,3.49,3.49,38557000.00
7/9/2010,3.52,3.58,3.31,3.48,3.48,20253000.00
7/12/2010,3.59,3.61,3.40,3.41,3.41,11012500.00
7/13/2010,3.48,3.73,3.38,3.63,3.63,13400500.00
7/14/2010,3.59,4.03,3.55,3.97,3.97,20976000.00
7/15/2010,3.99,4.30,3.80,3.98,3.98,18699000.00
7/16/2010,4.14,4.26,4.01,4.13,4.13,13106500.00
7/19/2010,4.27,4.45,4.18,4.38,4.38,12432500.00
7/20/2010,4.37,4.37,4.01,4.06,4.06,9126500.00
7/21/2010,4.13,4.18,3.90,4.04,4.04,6262500.00
7/22/2010,4.10,4.25,4.07,4.20,4.20,4789000.00
7/23/2010,4.24,4.31,4.21,4.26,4.26,3268000.00
7/26/2010,4.30,4.30,4.06,4.19,4.19,4611000.00
7/27/2010,4.18,4.24,4.05,4.11,4.11,3098500.00
7/28/2010,4.11,4.18,4.10,4.14,4.14,2336000.00
7/29/2010,4.15,4.18,4.00,4.07,4.07,3080000.00
7/30/2010,4.04,4.09,3.91,3.99,3.99,2134500.00
8/2/2010,4.10,4.19,4.07,4.18,4.18,3590500.00
8/3/2010,4.20,4.39,4.16,4.39,4.39,6152500.00
8/4/2010,4.39,4.44,4.17,4.25,4.25,4565000.00
8/5/2010,4.31,4.31,4.01,4.09,4.09,3981000.00
8/6/2010,4.02,4.03,3.90,3.92,3.92,3709500.00
8/9/2010,3.98,4.00,3.89,3.92,3.92,4063500.00
8/10/2010,3.93,3.93,3.76,3.81,3.81,6406500.00
8/11/2010,3.74,3.78,3.57,3.58,3.58,3988000.00
8/12/2010,3.56,3.58,3.48,3.52,3.52,3455000.00
8/13/2010,3.64,3.69,3.53,3.66,3.66,3170000.00
8/16/2010,3.69,3.76,3.65,3.76,3.76,2429000.00
8/17/2010,3.79,3.88,3.76,3.83,3.83,2239500.00
8/18/2010,3.92,3.92,3.72,3.75,3.75,3006500.00
8/19/2010,3.71,3.85,3.67,3.76,3.76,2895500.00
8/20/2010,3.73,3.82,3.70,3.82,3.82,1480000.00
8/23/2010,3.82,4.08,3.80,4.03,4.03,5440500.00
8/24/2010,3.85,3.94,3.79,3.84,3.84,3365500.00
8/25/2010,3.83,4.00,3.71,3.98,3.98,2516500.00
8/26/2010,3.98,4.05,3.92,3.95,3.95,2169000.00
8/27/2010,3.95,3.97,3.90,3.94,3.94,1898000.00
8/30/2010,3.94,4.04,3.92,3.97,3.97,3664000.00
8/31/2010,3.93,3.96,3.87,3.90,3.90,1005500.00
9/1/2010,3.92,4.14,3.92,4.09,4.09,2474500.00
9/2/2010,4.07,4.25,4.06,4.21,4.21,2435500.00
9/3/2010,4.17,4.26,4.13,4.21,4.21,2173000.00
9/7/2010,4.12,4.20,4.10,4.11,4.11,1217000.00
9/8/2010,4.13,4.19,4.12,4.18,4.18,1442000.00
9/9/2010,4.20,4.21,4.14,4.14,4.14,1881000.00
